20240415	15:21:33	7ebadd70-99e9-45b5-8f46-d6c528cd0e27	ReferenceError: Note is not defined	DELETE	/users	undefined
20240422	10:28:47	358ac8d9-5a81-458d-aa8e-b364fd502989	Error: secretOrPrivateKey must have a value	POST	/auth	undefined
20240422	10:42:03	d55e40ac-8c78-46b2-b07d-10c4cf44c2db	Error: secretOrPrivateKey must have a value	POST	/auth	undefined
20240422	10:42:18	e0cdb736-464e-40c8-8722-c9c7bacfa79d	Error: secretOrPrivateKey must have a value	POST	/auth	undefined
20240425	01:01:41	6c472973-ed38-4037-b46f-6d0ee4b9b2aa	Error: Not allowed by CORS	OPTIONS	/auth	http://localhost:3000
20240512	21:31:05	0a87d101-a439-45c7-965f-65c04fbfc99b	ValidationError: Student validation failed: nationily: Path `nationily` is required.	POST	/students	undefined
20240714	13:03:47	ba10f68e-3124-46a4-9d9c-a7c3b3e88637	ReferenceError: matricule is not defined	PATCH	/students	http://localhost:3000
20240714	13:04:30	39e5f9fb-1c54-451e-a012-468766a14fc4	ReferenceError: matricule is not defined	PATCH	/students	http://localhost:3000
20240714	13:05:28	ff9fb3fc-f57f-440a-bae6-9433757d0e1f	ReferenceError: matricule is not defined	PATCH	/students	http://localhost:3000
20240717	22:03:39	117e7af1-aee8-40e5-8e5c-ef8815757030	TypeError: installment.deleteOne is not a function	DELETE	/sections	http://localhost:3000
20240717	22:09:52	800c80cf-ae7e-4d96-b748-5092c4383958	TypeError: installment.deleteOne is not a function	DELETE	/sections	http://localhost:3000
20240717	22:10:56	03ed894c-ba04-4628-bbd5-3960944dea48	TypeError: installment.deleteOne is not a function	DELETE	/sections	http://localhost:3000
20240717	22:14:02	baa1d1fc-4205-42f5-890c-8c1a0db053c7	TypeError: installment.deleteOne is not a function	DELETE	/sections	http://localhost:3000
20240717	22:15:42	b23ec0cb-53a2-43c3-ad91-d7285d416de9	TypeError: installment.deleteOne is not a function	DELETE	/sections	http://localhost:3000
20240717	22:16:55	e57bc215-a5df-42b9-a4c4-72bfd03d696d	TypeError: installment.deleteOne is not a function	DELETE	/sections	http://localhost:3000
20240717	22:21:15	5c8777f9-d95b-4240-af3c-a91f9fbe72a3	TypeError: installment.deleteOne is not a function	DELETE	/sections	http://localhost:3000
20240721	22:56:14	d395f2c8-de8c-471b-a58b-dabf445fa89a	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	22:56:45	fa80d2c7-78e4-463d-969c-00a7cf724ddc	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	22:57:41	26c115a8-4ecf-46de-8008-b951f98dfebc	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	22:57:52	3db07df0-cb64-47b5-b30f-3bffb69055ef	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	22:58:07	f33be9f0-1c26-4847-9210-129be4b64dc4	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	22:58:35	73f7e53e-4852-4e47-9750-ef767e8b0231	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	22:58:43	cb730fb3-8a49-4b32-b128-593faa1d2cdc	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	22:59:44	9c3d75c4-b06d-4dbf-8b9e-d715f5bf0068	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	23:00:40	6ce12339-be50-4132-b020-02f351b48c2f	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	23:01:16	3cf63a32-017b-45b1-b771-995460624742	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	23:01:24	bbd56a67-1b4a-4c62-9eab-a93fc7f0608b	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	23:01:37	091e33a7-2d6b-41e6-b7d3-4c28aa1b5c4c	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
20240721	23:02:03	b9cd71ad-5cff-4020-abba-01252e83c3b1	ReferenceError: Class is not defined	GET	/fees	http://localhost:3000
